,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,y
102,54,services,married,unknown,no,no,no,telephone,may,mon,400,1,0,nonexistent,no
103,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197,1,0,nonexistent,no
104,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190,1,0,nonexistent,no
105,43,services,single,high.school,unknown,no,no,telephone,may,mon,21,1,0,nonexistent,no
106,34,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,300,2,0,nonexistent,no
107,35,admin.,married,high.school,no,yes,no,telephone,may,mon,123,2,0,nonexistent,no
108,42,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,293,1,0,nonexistent,no
109,43,technician,married,unknown,unknown,yes,yes,telephone,may,mon,325,1,0,nonexistent,no
110,60,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,514,1,0,nonexistent,no
111,58,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,849,2,0,nonexistent,no
112,35,services,divorced,high.school,no,yes,no,telephone,may,mon,194,1,0,nonexistent,no
113,55,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,212,2,0,nonexistent,no
114,37,management,married,university.degree,no,no,no,telephone,may,mon,337,2,0,nonexistent,no
115,36,blue-collar,married,high.school,no,no,no,telephone,may,mon,286,1,0,nonexistent,no
116,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247,2,0,nonexistent,no
117,57,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,518,1,0,nonexistent,no
118,56,admin.,married,unknown,no,yes,no,telephone,may,mon,364,1,0,nonexistent,no
119,48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,178,1,0,nonexistent,no
120,40,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,98,1,0,nonexistent,no
121,49,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,439,1,0,nonexistent,no
122,41,services,married,high.school,no,no,no,telephone,may,mon,139,1,0,nonexistent,no
123,45,technician,married,high.school,no,yes,no,telephone,may,mon,79,1,0,nonexistent,no
124,32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175,1,0,nonexistent,no
125,42,admin.,married,university.degree,no,no,yes,telephone,may,mon,262,2,0,nonexistent,no
126,50,admin.,married,basic.6y,no,no,no,telephone,may,mon,61,1,0,nonexistent,no
127,31,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,78,1,0,nonexistent,no
128,56,retired,married,basic.4y,no,yes,no,telephone,may,mon,102,2,0,nonexistent,no
129,41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,579,1,0,nonexistent,yes
130,37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,143,1,0,nonexistent,no
131,41,technician,married,professional.course,unknown,no,no,telephone,may,mon,677,1,0,nonexistent,no
132,35,blue-collar,married,unknown,no,yes,no,telephone,may,mon,267,1,0,nonexistent,no
133,37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,345,1,0,nonexistent,no
134,52,management,married,university.degree,no,no,no,telephone,may,mon,185,1,0,nonexistent,no
135,39,management,divorced,university.degree,no,no,no,telephone,may,mon,207,1,0,nonexistent,no
136,39,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,69,2,0,nonexistent,no
137,56,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,100,2,0,nonexistent,no
138,34,services,married,high.school,no,yes,no,telephone,may,mon,125,2,0,nonexistent,no
139,45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,461,1,0,nonexistent,yes
140,43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,240,1,0,nonexistent,no
141,56,management,married,unknown,no,yes,no,telephone,may,mon,70,1,0,nonexistent,no
142,39,management,married,university.degree,no,yes,no,telephone,may,mon,193,1,0,nonexistent,no
143,53,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,136,1,0,nonexistent,no
144,38,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,73,1,0,nonexistent,no
145,42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,528,1,0,nonexistent,no
146,42,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,541,1,0,nonexistent,no
147,35,admin.,single,high.school,no,yes,no,telephone,may,mon,338,1,0,nonexistent,no
148,40,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,163,1,0,nonexistent,no
149,51,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,87,1,0,nonexistent,no
150,60,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,301,1,0,nonexistent,no
151,56,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,46,1,0,nonexistent,no
152,39,services,divorced,high.school,unknown,yes,no,telephone,may,mon,52,1,0,nonexistent,no
153,56,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,204,1,0,nonexistent,no
154,40,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,155,1,0,nonexistent,no
155,36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,98,1,0,nonexistent,no
156,51,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,71,1,0,nonexistent,no
157,51,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,243,1,0,nonexistent,no
158,43,technician,single,professional.course,no,yes,no,telephone,may,mon,186,2,0,nonexistent,no
159,59,services,married,high.school,no,no,no,telephone,may,mon,579,2,0,nonexistent,no
160,24,management,single,university.degree,no,yes,no,telephone,may,mon,165,2,0,nonexistent,no
161,37,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,163,2,0,nonexistent,no
162,40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,46,1,0,nonexistent,no
163,42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,559,3,0,nonexistent,no
164,39,services,divorced,high.school,unknown,no,no,telephone,may,mon,2033,1,0,nonexistent,no
165,37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,85,1,0,nonexistent,no
166,38,services,married,high.school,no,yes,yes,telephone,may,mon,506,1,0,nonexistent,no
167,56,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,114,2,0,nonexistent,no
168,40,blue-collar,married,unknown,no,no,no,telephone,may,mon,114,2,0,nonexistent,no
169,54,management,divorced,university.degree,no,yes,no,telephone,may,mon,843,2,0,nonexistent,no
170,43,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,181,1,0,nonexistent,no
171,36,services,married,high.school,unknown,no,no,telephone,may,mon,427,1,0,nonexistent,no
172,45,technician,married,university.degree,no,yes,yes,telephone,may,mon,292,1,0,nonexistent,no
173,42,admin.,single,university.degree,unknown,no,no,telephone,may,mon,192,1,0,nonexistent,no
174,43,services,married,high.school,no,no,no,telephone,may,mon,93,3,0,nonexistent,no
175,46,management,married,basic.9y,no,no,no,telephone,may,mon,128,2,0,nonexistent,no
176,44,services,married,high.school,no,yes,yes,telephone,may,mon,107,1,0,nonexistent,no
177,51,admin.,single,basic.6y,no,no,no,telephone,may,mon,303,2,0,nonexistent,no
178,28,services,married,high.school,no,yes,no,telephone,may,mon,81,1,0,nonexistent,no
179,37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270,1,0,nonexistent,no
180,34,technician,married,high.school,no,no,no,telephone,may,mon,228,1,0,nonexistent,no
181,46,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,240,1,0,nonexistent,no
182,42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,2,0,nonexistent,yes
183,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,233,3,0,nonexistent,no
184,54,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102,1,0,nonexistent,no
185,57,management,married,university.degree,no,no,no,telephone,may,mon,461,1,0,nonexistent,no
186,51,technician,married,basic.6y,unknown,no,no,telephone,may,mon,250,1,0,nonexistent,no
187,54,retired,married,high.school,unknown,no,no,telephone,may,mon,130,1,0,nonexistent,no
188,49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,252,1,0,nonexistent,no
189,34,admin.,married,university.degree,no,yes,no,telephone,may,mon,138,1,0,nonexistent,no
190,41,technician,married,professional.course,no,no,no,telephone,may,mon,412,1,0,nonexistent,no
191,38,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,179,2,0,nonexistent,no
192,45,management,divorced,university.degree,no,no,no,telephone,may,mon,19,2,0,nonexistent,no
193,42,technician,married,university.degree,no,no,no,telephone,may,mon,228,2,0,nonexistent,no
194,34,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,55,1,0,nonexistent,no
195,48,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,717,1,0,nonexistent,no
196,37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,313,1,0,nonexistent,no
197,34,blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,289,1,0,nonexistent,no
198,40,admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,683,2,0,nonexistent,no
199,43,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1077,1,0,nonexistent,no
200,33,services,married,high.school,no,no,no,telephone,may,mon,146,2,0,nonexistent,no
201,32,services,single,basic.6y,no,no,no,telephone,may,mon,167,1,0,nonexistent,no
202,39,blue-collar,married,high.school,no,yes,no,telephone,may,mon,356,2,0,nonexistent,no
203,43,admin.,married,unknown,no,no,no,telephone,may,mon,277,1,0,nonexistent,no
204,44,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,172,1,0,nonexistent,no
205,35,student,single,university.degree,unknown,no,no,telephone,may,mon,218,1,0,nonexistent,no
206,35,student,single,university.degree,unknown,yes,yes,telephone,may,mon,217,1,0,nonexistent,no
207,35,unemployed,married,professional.course,no,no,no,telephone,may,mon,67,1,0,nonexistent,no
208,36,services,single,basic.4y,no,no,no,telephone,may,mon,291,1,0,nonexistent,no
209,35,student,single,university.degree,unknown,yes,no,telephone,may,mon,248,1,0,nonexistent,no
210,36,student,single,basic.9y,no,yes,no,telephone,may,mon,256,1,0,nonexistent,no
211,55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,286,1,0,nonexistent,no
212,59,admin.,married,university.degree,no,no,no,telephone,may,mon,477,1,0,nonexistent,no
213,57,retired,married,unknown,unknown,no,no,telephone,may,mon,611,2,0,nonexistent,no
214,39,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,471,1,0,nonexistent,no
215,39,housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,381,2,0,nonexistent,no
216,30,blue-collar,single,unknown,no,yes,no,telephone,may,mon,251,1,0,nonexistent,no
217,30,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,408,1,0,nonexistent,no
218,50,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,287,1,0,nonexistent,no
219,40,services,married,high.school,no,no,no,telephone,may,mon,322,3,0,nonexistent,no
220,35,admin.,married,high.school,no,yes,no,telephone,may,mon,216,2,0,nonexistent,no
221,43,technician,married,unknown,unknown,no,no,telephone,may,mon,366,2,0,nonexistent,no
222,36,services,single,basic.6y,unknown,yes,no,telephone,may,mon,210,1,0,nonexistent,no
223,46,technician,married,basic.4y,unknown,yes,no,telephone,may,mon,288,1,0,nonexistent,no
224,40,technician,married,basic.9y,no,no,no,telephone,may,mon,168,1,0,nonexistent,no
225,58,retired,married,university.degree,no,no,no,telephone,may,mon,132,1,0,nonexistent,no
226,42,technician,married,university.degree,no,no,no,telephone,may,mon,64,2,0,nonexistent,no
227,35,admin.,single,university.degree,no,no,no,telephone,may,mon,209,2,0,nonexistent,no
228,43,retired,married,basic.4y,unknown,no,no,telephone,may,mon,410,3,0,nonexistent,no
229,45,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,177,1,0,nonexistent,no
230,39,admin.,married,professional.course,no,yes,no,telephone,may,mon,580,2,0,nonexistent,no
231,50,services,divorced,professional.course,no,yes,no,telephone,may,mon,165,1,0,nonexistent,no
232,32,management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,127,2,0,nonexistent,no
233,39,admin.,married,high.school,unknown,no,no,telephone,may,mon,357,1,0,nonexistent,no
234,52,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,175,1,0,nonexistent,no
235,44,admin.,married,professional.course,no,yes,no,telephone,may,mon,300,1,0,nonexistent,no
236,56,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,136,1,0,nonexistent,no
237,48,admin.,married,high.school,no,no,no,telephone,may,mon,125,2,0,nonexistent,no
238,33,services,married,high.school,unknown,no,yes,telephone,may,mon,189,2,0,nonexistent,no
239,43,management,married,university.degree,unknown,no,yes,telephone,may,mon,213,3,0,nonexistent,no
240,57,retired,married,high.school,no,no,no,telephone,may,mon,238,2,0,nonexistent,no
241,36,technician,single,professional.course,no,no,no,telephone,may,mon,124,1,0,nonexistent,no
242,34,management,married,university.degree,no,yes,no,telephone,may,mon,18,1,0,nonexistent,no
243,34,services,single,basic.9y,no,no,no,telephone,may,mon,730,2,0,nonexistent,no
244,30,technician,married,university.degree,unknown,no,no,telephone,may,mon,40,1,0,nonexistent,no
245,33,services,divorced,unknown,no,no,no,telephone,may,mon,181,2,0,nonexistent,no
246,32,technician,single,professional.course,no,no,no,telephone,may,mon,79,1,0,nonexistent,no
247,36,technician,single,high.school,no,yes,no,telephone,may,mon,142,2,0,nonexistent,no
248,36,blue-collar,single,high.school,no,no,yes,telephone,may,mon,389,1,0,nonexistent,no
249,33,services,single,high.school,no,no,no,telephone,may,mon,702,1,0,nonexistent,no
250,40,technician,divorced,professional.course,no,no,no,telephone,may,mon,151,1,0,nonexistent,no
251,41,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,211,1,0,nonexistent,no
252,51,services,married,basic.6y,no,yes,no,telephone,may,mon,117,1,0,nonexistent,no
253,36,technician,married,professional.course,no,yes,no,telephone,may,mon,232,3,0,nonexistent,no
254,28,services,married,unknown,no,no,no,telephone,may,mon,408,2,0,nonexistent,no
255,53,services,married,high.school,no,yes,yes,telephone,may,mon,370,3,0,nonexistent,no
256,58,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,179,2,0,nonexistent,no
257,45,management,married,basic.9y,no,no,yes,telephone,may,mon,46,1,0,nonexistent,no
258,43,technician,married,unknown,no,yes,no,telephone,may,mon,200,1,0,nonexistent,no
259,33,admin.,married,high.school,no,no,yes,telephone,may,mon,50,1,0,nonexistent,no
260,33,admin.,married,high.school,no,no,yes,telephone,may,mon,181,1,0,nonexistent,no
261,27,blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,mon,119,1,0,nonexistent,no
262,42,technician,married,high.school,no,no,no,telephone,may,mon,361,1,0,nonexistent,no
263,43,admin.,divorced,basic.9y,no,no,no,telephone,may,mon,73,3,0,nonexistent,no
264,42,admin.,married,university.degree,no,no,no,telephone,may,mon,67,2,0,nonexistent,no
265,27,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,350,1,0,nonexistent,no
266,34,self-employed,single,university.degree,no,yes,no,telephone,may,mon,150,2,0,nonexistent,no
267,31,student,single,university.degree,unknown,no,no,telephone,may,mon,332,2,0,nonexistent,no
268,54,management,divorced,university.degree,no,no,no,telephone,may,mon,611,2,0,nonexistent,no
269,40,self-employed,married,basic.4y,unknown,no,no,telephone,may,mon,58,3,0,nonexistent,no
270,52,unemployed,married,high.school,unknown,yes,no,telephone,may,mon,151,1,0,nonexistent,no
271,47,management,divorced,university.degree,no,no,no,telephone,may,mon,89,2,0,nonexistent,no
272,49,housemaid,married,basic.9y,unknown,no,no,telephone,may,mon,152,1,0,nonexistent,no
273,32,admin.,single,high.school,no,no,no,telephone,may,mon,611,2,0,nonexistent,no
274,49,housemaid,single,high.school,unknown,yes,yes,telephone,may,mon,110,2,0,nonexistent,no
275,50,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,463,1,0,nonexistent,no
276,34,services,married,high.school,no,no,no,telephone,may,mon,962,1,0,nonexistent,no
277,55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102,2,0,nonexistent,no
278,47,technician,single,basic.9y,no,no,no,telephone,may,mon,10,4,0,nonexistent,no
279,51,retired,married,professional.course,no,no,no,telephone,may,mon,118,3,0,nonexistent,no
280,47,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,92,2,0,nonexistent,no
281,56,technician,married,basic.4y,no,yes,no,telephone,may,mon,143,3,0,nonexistent,no
282,53,admin.,married,basic.9y,no,no,no,telephone,may,mon,189,3,0,nonexistent,no
283,36,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,75,2,0,nonexistent,no
284,42,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,mon,189,2,0,nonexistent,no
285,44,blue-collar,divorced,basic.6y,no,no,no,telephone,may,mon,55,2,0,nonexistent,no
286,39,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935,3,0,nonexistent,yes
287,37,admin.,single,high.school,no,yes,yes,telephone,may,mon,56,2,0,nonexistent,no
288,60,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,5,2,0,nonexistent,no
289,36,services,married,high.school,no,no,no,telephone,may,mon,225,2,0,nonexistent,no
290,42,management,divorced,university.degree,no,yes,no,telephone,may,mon,125,2,0,nonexistent,no
291,31,admin.,married,high.school,no,yes,yes,telephone,may,mon,286,2,0,nonexistent,no
292,53,technician,divorced,professional.course,unknown,no,yes,telephone,may,mon,206,2,0,nonexistent,no
293,45,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,164,2,0,nonexistent,no
294,37,technician,single,professional.course,no,yes,no,telephone,may,mon,98,2,0,nonexistent,no
295,47,self-employed,married,professional.course,no,no,no,telephone,may,mon,446,2,0,nonexistent,no
296,49,blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,742,2,0,nonexistent,no
297,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,120,2,0,nonexistent,no
298,35,services,divorced,high.school,no,no,no,telephone,may,mon,122,3,0,nonexistent,no
299,38,unknown,married,unknown,unknown,no,no,telephone,may,mon,362,4,0,nonexistent,no
300,38,services,single,high.school,unknown,no,no,telephone,may,mon,357,2,0,nonexistent,no
301,50,blue-collar,divorced,high.school,unknown,no,yes,telephone,may,mon,200,2,0,nonexistent,no
302,59,retired,married,professional.course,unknown,no,no,telephone,may,mon,107,2,0,nonexistent,no
303,43,unknown,married,unknown,no,yes,no,telephone,may,mon,267,2,0,nonexistent,no
